A60.004+N51.8* A60.000x004+N51.8*
A60.101+K93.8* A60.102+K93.8*
A60.102 A60.100x002
A60.901 A60.900
A63.001 A63.000x001
A63.003 A63.002
A63.005 A63.000x013
A63.006 A63.000x006
A66.301 A66.300
A66.501+J99.8* A66.500
A68.001 A68.000
A68.101 A68.100
A68.901 A68.900
A69.001 A69.000
A69.002 A69.000x002
A69.101 A69.100x001
A69.102 A69.100x002
A69.103 A69.100x003
A69.201 A69.200
A69.202+G63.0* A69.200x002+G63.0*
A69.901 A69.900
A69.902+M01.8* A69.900x002+M01.8*
A70xx01 A70.x00x001
A71.101 A71.101
A71.102 A71.100x002
A71.103 A71.100x003
A71.901 A71.900
A74.001+H13.1* A74.000+H13.1*
A74.801+K67.0* A74.801+K67.0*
A74.901 A74.900
A74.902 A74.900x001
A75.001 A75.001
A75.002 A75.000x002
A75.003 A75.000x003
A75.101 A75.100
A75.201 A75.200
A75.301 A75.300
A75.901 A75.900
A77.001 A77.000x001
A77.101 A77.100x001
A77.201 A77.200x001
A77.301 A77.300x001
A77.901 A77.900x001
A78xx01 A78.x00
A79.001 A79.000
A79.801 A79.801
A79.802 A79.800x002
A79.901 A79.900
A79.902 A79.901
A79.903+G05.2* A79.900x003+G05.2*
A80.301 A80.300x001
A80.401 A80.400x001
A80.402 A80.400x002
A80.901 A80.900
A81.001 A81.000x001
A81.002 A81.000x002
A81.003+F02.1* A81.000x003+F02.1*
A81.004 A81.000x004
A81.005 A81.801
A81.006 A81.000x006
A81.007 A81.000x007
A81.102 A81.100
A81.201 A81.200x001
A81.202 A81.200
A81.801 A81.800x001
A82.901 A82.900
A83.001 A83.000x001
A83.002 A83.000x002
A83.003 A83.000x003
A83.004 A83.000x004
A83.005 A83.000x005
A83.101 A83.100
A83.201 A83.200
A83.301 A83.300
A83.501 A83.500
A83.601 A83.600
A84.001 A84.000x001
A84.801 A84.800x001
A84.901 A84.900
A85.001+G05.1* A85.000+G05.1*
A85.002+G05.1* A85.000x002+G05.1*
A85.003+G05.1* A85.000x003+G05.1*
